"Customer ID","Last Name","First Name","Invoice ID","Transaction Moment"
1,Kobzar,Myroslava,NULL,NULL
2,Kulish,Yevheniya,NULL,NULL
3,Nazarenko,Yuliya,NULL,NULL
4,Chernyak,Vsevolod,NULL,NULL
5,Shirman,Artem,NULL,NULL
6,Shirman,Eduard,NULL,NULL
7,Petruk,Oleksandra,NULL,NULL
8,Kravchuk,Larysa,NULL,NULL
9,Honchar,Anton,NULL,NULL
10,Mazurenko,Yurij,NULL,NULL
11,Bojchuk,Lyubov,NULL,NULL
12,Tokar,Oksana,NULL,NULL
13,Prykhodko,Hryhorij,NULL,NULL
14,Ihnatenko,Olha,NULL,NULL
15,Yakymenko,Danylo,NULL,NULL
16,Getman,Yevhen,NULL,NULL
17,Bondarchuk,Iryna,NULL,NULL
18,Naumenko,Yevhen,NULL,NULL
19,Demchuk,Tamara,NULL,NULL
20,Vlasyuk,Stanislava,NULL,NULL
21,Leshchenko,Serhij,NULL,NULL
22,Kramarenko,Artur,NULL,NULL
23,Shynkarenko,Serhij,NULL,NULL
24,Gorin,Oksana,NULL,NULL
25,Parkhomenko,Yeva,NULL,NULL
26,Shevchenko,Mykyta,NULL,NULL
27,Yatsenko,Antonina,NULL,NULL
28,Valenyuk,Roman,NULL,NULL
29,Ilchenko,Tamara,NULL,NULL
30,Romanenko,Vsevolod,NULL,NULL
31,Holovko,Denys,NULL,NULL
32,Lyashko,Yukhym,NULL,NULL
33,Babych,Yuliya,NULL,NULL
34,Slobodyan,Ivanna,NULL,NULL
35,Serdyuk,Tayisiya,NULL,NULL
36,Morhun,Yevheniya,NULL,NULL
37,Ponomarenko,Taras,NULL,NULL
38,Chernenko,Stanislava,NULL,NULL
39,Ponomarenko,Anton,NULL,NULL
40,Movchan,Ivan,NULL,NULL
41,Buryak,Heorhij,NULL,NULL
42,Sayenko,Ulyana,NULL,NULL
43,Tarasyuk,Yukhym,NULL,NULL
44,Cheban,Zynovij,NULL,NULL
45,Lebid,Nina,NULL,NULL
46,Buhaj,Taras,NULL,NULL
47,Naumenko,Vladyslava,NULL,NULL
48,Kolisnyk,Rostyslav,NULL,NULL
49,Kondratyuk,Liliya,NULL,NULL
50,Ponomarenko,Anzhela,NULL,NULL
51,Rudenko,Rostyslav,NULL,NULL
52,Dudnyk,Ulyana,NULL,NULL
53,Kondratyuk,Orest,NULL,NULL
54,Movchan,Eduard,NULL,NULL
55,Valenyuk,Volodymyr,NULL,NULL
56,Musiyenko,Leonid,NULL,NULL
57,Yevtushenko,Myron,NULL,NULL
58,Kolisnyk,Oksana,NULL,NULL
59,Havrylyuk,Rostyslav,NULL,NULL
60,Lysyuk,Alla,NULL,NULL
61,Datsenko,Yuliya,NULL,NULL
62,Movchan,Dmytro,NULL,NULL
63,Slobodyan,Ulyana,NULL,NULL
64,Tarasyuk,Kseniya,NULL,NULL
65,Kravets,Zhanna,NULL,NULL
66,Horban,Yurij,NULL,NULL
67,Solovej,Taras,NULL,NULL
68,Didyk,Yuliya,NULL,NULL
69,Dudnyk,Vita,NULL,NULL
70,Petruk,Valentyna,NULL,NULL
71,Didyk,Lyubov,NULL,NULL
72,Naumenko,Afanasij,NULL,NULL
73,Kohut,Zynovij,NULL,NULL
74,Khudenko,Zynovij,NULL,NULL
75,Yatsenko,Halyna,NULL,NULL
76,Horban,Andrij,NULL,NULL
77,Kramarenko,Valentyna,NULL,NULL
78,Kravchenko,Myroslav,NULL,NULL
79,Serdyuk,Svyatoslav,NULL,NULL
80,Maslyanko,Taras,NULL,NULL
81,Omelchuk,Olesya,NULL,NULL
82,Kravchuk,Lyubov,NULL,NULL
83,Kosenko,Mykyta,NULL,NULL
84,Yevtushenko,Hanna,NULL,NULL
85,Kondratyuk,Zynovij,NULL,NULL
86,Fesenko,Svitlana,NULL,NULL
87,Demydenko,Andrij,NULL,NULL
88,Fesenko,Kyrylo,NULL,NULL
89,Leshchenko,Khrystyna,NULL,NULL
90,Savenko,Yana,NULL,NULL
91,Kalinichenko,Eduard,NULL,NULL
92,Kysil,Yana,NULL,NULL
93,Martynenko,Nina,NULL,NULL
94,Usenko,Eduard,NULL,NULL
95,Velychko,Anastasiya,NULL,NULL
96,Demydenko,Natalya,NULL,NULL
97,Stepanenko,Liliya,NULL,NULL
98,Voloshchuk,Stanislav,NULL,NULL
99,Balko,Yeva,NULL,NULL
100,Olijnyk,Roman,NULL,NULL
1,Kobzar,Myroslava,20230128082400,"2023-01-28 08:24:00"
2,Kulish,Yevheniya,20230314143737,"2023-03-14 14:37:37"
2,Kulish,Yevheniya,20230413082152,"2023-04-13 08:21:52"
2,Kulish,Yevheniya,20230828140218,"2023-08-28 14:02:18"
3,Nazarenko,Yuliya,20230218091837,"2023-02-18 09:18:37"
3,Nazarenko,Yuliya,20230601135524,"2023-06-01 13:55:24"
3,Nazarenko,Yuliya,20230703084052,"2023-07-03 08:40:52"
3,Nazarenko,Yuliya,20230922111119,"2023-09-22 11:11:19"
4,Chernyak,Vsevolod,20230212140457,"2023-02-12 14:04:57"
5,Shirman,Artem,20220916080537,"2022-09-16 08:05:37"
5,Shirman,Artem,20220930094807,"2022-09-30 09:48:07"
5,Shirman,Artem,20221005080305,"2022-10-05 08:03:05"
5,Shirman,Artem,20221116092459,"2022-11-16 09:24:59"
5,Shirman,Artem,20230430090559,"2023-04-30 09:05:59"
5,Shirman,Artem,20230523112156,"2023-05-23 11:21:56"
6,Shirman,Eduard,20230303082405,"2023-03-03 08:24:05"
6,Shirman,Eduard,20230812092037,"2023-08-12 09:20:37"
7,Petruk,Oleksandra,20221003105755,"2022-10-03 10:57:55"
7,Petruk,Oleksandra,20221204110626,"2022-12-04 11:06:26"
7,Petruk,Oleksandra,20230623165149,"2023-06-23 16:51:49"
7,Petruk,Oleksandra,20230717095235,"2023-07-17 09:52:35"
7,Petruk,Oleksandra,20230930120601,"2023-09-30 12:06:01"
8,Kravchuk,Larysa,20221203121755,"2022-12-03 12:17:55"
8,Kravchuk,Larysa,20230116091324,"2023-01-16 09:13:24"
8,Kravchuk,Larysa,20230525104235,"2023-05-25 10:42:35"
8,Kravchuk,Larysa,20230526090132,"2023-05-26 09:01:32"
8,Kravchuk,Larysa,20230811085146,"2023-08-11 08:51:46"
8,Kravchuk,Larysa,20230822132342,"2023-08-22 13:23:42"
9,Honchar,Anton,20221013093549,"2022-10-13 09:35:49"
9,Honchar,Anton,20230704101119,"2023-07-04 10:11:19"
9,Honchar,Anton,20230725103649,"2023-07-25 10:36:49"
