first_name,last_name,genger,birth_date,phone_number
Yuliya,Datsenko,F,1994-01-01,380395555551
Natalya,Demydenko,F,1993-10-26,380635552727
Lyubov,Didyk,F,1999-02-09,380505555052
Ulyana,Dudnyk,F,2000-03-14,380670555553
Vita,Dudnyk,F,1999-07-17,380505551012
Oksana,Kolisnyk,F,1994-04-15,380395552855
Liliya,Kondratyuk,F,1992-05-02,380635556249
Zhanna,Kravets,F,1993-09-05,380395552078
Nina,Lebid,F,1999-05-01,380505558986
Khrystyna,Leshchenko,F,1996-12-21,380505553300
Alla,Lysyuk,F,1997-12-03,380395555515
Olesya,Omelchuk,F,1993-04-21,380635553735
Yeva,Parkhomenko,F,1998-07-28,380505553585
Yana,Savenko,F,1994-01-02,380395556307
Stanislava,Vlasyuk,F,1992-05-09,380505559725
Antonina,Yatsenko,F,1995-05-17,380635555580
Halyna,Yatsenko,F,1996-11-02,380395557364
